#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  10700      5.16e+00    9.41e+00      2.07e-01    1.60e-01      1.73e-01    3.17e-01    8.8e-04
  10800      3.71e+00    3.89e+00      4.70e-01    3.25e-01      1.17e-01    1.28e-01    8.8e-04
  10900      1.57e+00    1.19e-01      1.16e-01    2.27e-01      5.24e-02    9.66e-07    8.8e-04
  11000      9.73e-01    2.28e+00      6.78e-02    1.97e-01      3.26e-02    7.19e-02    8.8e-04
  11100      4.44e+00    1.80e+01      4.37e-01    5.37e-01      1.44e-01    6.07e-01    8.8e-04
  11200      2.53e+00    6.97e-02      5.28e-03    1.88e-01      8.54e-02    3.29e-17    8.8e-04
  11300      3.32e+00    1.09e-01      3.54e-01    2.94e-01      1.07e-01    2.83e-18    8.8e-04
  11400      4.82e+00    3.64e-02      4.98e-02    9.80e-02      1.62e-01    6.73e-17    8.8e-04
  11500      2.74e+00    2.78e+00      6.24e-02    1.96e-02      9.22e-02    9.38e-02    8.8e-04
  11600      3.17e+00    1.81e-01      3.37e-01    3.44e-01      1.02e-01    6.10e-07    8.8e-04
  11700      2.57e+00    1.79e+00      9.73e-02    6.35e-02      8.63e-02    6.00e-02    8.8e-04
  11800      2.77e+00    1.25e-02      2.57e-02    3.36e-02      9.34e-02    1.16e-17    8.8e-04
  11900      3.23e+00    2.15e+00      1.06e-01    2.26e-01      1.09e-01    6.96e-02    8.8e-04
  12000      1.85e+00    1.53e+00      7.36e-02    5.74e-02      6.21e-02    5.15e-02    8.8e-04
  12100      5.47e+00    3.31e+00      9.17e-02    5.52e-02      1.84e-01    1.11e-01    8.8e-04
  12200      2.86e+00    3.46e+00      5.29e-02    1.57e-02      9.63e-02    1.17e-01    8.8e-04
  12300      3.28e+00    2.53e+00      9.27e-02    7.60e-02      1.10e-01    8.51e-02    8.8e-04
  12400      2.37e+00    2.54e+00      4.54e-02    1.83e-01      7.97e-02    8.39e-02    8.8e-04
  12500      2.60e+00    3.31e+00      8.24e-03    2.84e-02      8.76e-02    1.12e-01    8.8e-04
  12600      1.88e+00    3.11e+00      1.31e-01    2.33e-01      6.22e-02    1.03e-01    8.8e-04
  12700      1.95e+00    2.80e+00      1.05e-01    1.13e-01      6.55e-02    9.43e-02    8.8e-04
  12800      3.80e+00    4.45e+00      1.83e-02    4.22e-02      1.28e-01    1.50e-01    8.8e-04
  12900      2.04e+00    4.51e+00      8.34e-02    6.15e-02      6.82e-02    1.52e-01    8.8e-04
  13000      1.81e+00    2.82e+00      8.63e-03    4.29e-02      6.10e-02    9.49e-02    8.8e-04
  13100      4.36e+00    5.25e-02      2.04e-01    1.41e-01      1.44e-01    2.48e-17    8.8e-04
  13200      3.15e+00    3.16e+00      1.18e-01    6.52e-02      1.06e-01    1.06e-01    8.8e-04
  13300      3.69e+00    7.40e+00      1.36e-01    1.61e-01      1.24e-01    2.49e-01    8.8e-04
  13400      8.89e-01    6.06e-02      4.46e-02    1.63e-01      2.99e-02    2.18e-17    8.8e-04
  13500      7.86e-01    1.27e+00      1.47e-01    1.48e-01      2.55e-02    4.20e-02    8.8e-04
  13600      3.94e+00    7.94e+00      1.45e-01    8.84e-02      1.32e-01    2.68e-01    8.8e-04
  13700      8.99e-01    1.04e+00      1.22e-01    6.24e-03      2.97e-02    3.51e-02    8.8e-04
  13800      1.04e+00    2.24e+00      1.39e-02    2.24e-02      3.51e-02    7.55e-02    8.8e-04
  13900      1.73e+00    1.22e-02      1.26e-01    3.29e-02      5.56e-02    1.62e-17    8.8e-04
  14000      1.95e+00    2.42e+00      4.80e-02    1.33e-01      6.57e-02    8.14e-02    8.8e-04
  14100      2.31e+00    3.58e-02      6.70e-02    9.64e-02      7.77e-02    8.62e-18    8.8e-04
  14200      4.45e+00    3.81e+00      4.63e-01    4.88e-01      1.36e-01    1.10e-01    8.8e-04
  14300      9.80e-01    3.10e+00      1.96e-01    1.27e-01      3.15e-02    1.03e-01    8.8e-04
  14400      8.21e-01    2.89e+00      1.06e-01    1.46e-01      2.72e-02    9.66e-02    8.8e-04
  14500      4.14e+00    1.18e+00      3.64e-02    6.43e-02      1.39e-01    3.95e-02    8.8e-04
  14600      2.00e+00    8.40e-02      2.01e-01    2.26e-01      6.47e-02    3.13e-17    8.8e-04
  14700      2.84e+00    2.48e+00      2.21e-02    4.78e-02      9.57e-02    8.33e-02    8.8e-04
  14800      5.10e-01    1.86e+02      7.12e-02    2.04e-01      1.68e-02    6.28e+00    8.8e-04
  14900      3.52e+00    9.24e-01      1.99e-02    2.30e-02      1.19e-01    3.11e-02    8.8e-04
  15000      7.30e-01    2.37e+00      9.36e-02    2.73e-01      2.42e-02    7.58e-02    8.8e-04
  15100      2.32e+00    1.66e+02      1.59e-01    2.40e-02      7.87e-02    5.79e+00    8.3e-04
  15200      8.95e-01    6.63e-02      1.99e-02    1.52e-01      3.11e-02    1.08e-16    8.3e-04
  15300      5.38e+00    1.81e+02      7.80e-01    1.49e+00      1.66e-01    6.32e+00    8.3e-04
  15400      2.89e+00    2.87e+00      2.06e-01    6.88e-02      9.80e-02    9.97e-02    8.3e-04
  15500      1.82e+00    1.10e+01      2.47e-01    1.60e-01      5.70e-02    3.81e-01    8.3e-04
  15600      1.70e+00    1.45e+00      2.00e-02    5.90e-02      5.91e-02    5.01e-02    8.3e-04
  15700      2.12e+00    2.50e+00      3.22e-02    6.95e-02      7.38e-02    8.68e-02    8.3e-04
  15800      3.53e+00    1.03e-02      2.94e-01    2.34e-02      1.18e-01    1.66e-17    8.3e-04
  15900      5.18e+00    3.73e+00      2.38e-01    2.56e-01      1.76e-01    1.27e-01    8.3e-04
  16000      7.61e-01    8.73e+02      8.18e-03    1.52e+00      2.65e-02    3.04e+01    8.3e-04
  16100      1.84e+00    3.93e+01      1.68e-01    1.34e-01      6.32e-02    1.37e+00    8.3e-04
  16200      3.88e+00    2.06e+00      1.67e-03    9.05e-03      1.35e-01    7.18e-02    8.3e-04
  16300      4.67e-01    3.09e-02      1.09e-01    7.06e-02      1.49e-02    9.55e-17    8.3e-04
  16400      2.23e+00    1.97e+00      6.94e-02    5.66e-02      7.73e-02    6.81e-02    8.3e-04
  16500      2.35e+00    3.72e+00      3.04e-02    1.63e-01      8.18e-02    1.28e-01    8.3e-04
  16600      2.32e+00    3.57e+00      3.35e-03    8.17e-02      8.07e-02    1.24e-01    8.3e-04
  16700      2.80e+00    3.28e-03      1.61e-01    5.29e-03      9.58e-02    2.25e-07    8.3e-04
  16800      4.81e+00    2.33e+00      4.83e-04    1.03e-01      1.67e-01    8.03e-02    8.3e-04
  16900      9.52e-01    4.23e+00      5.07e-03    2.96e-02      3.32e-02    1.47e-01    8.3e-04
  17000      1.01e+00    2.65e+00      2.61e-01    3.15e-01      3.13e-02    9.08e-02    8.3e-04
  17100      2.28e+00    1.86e+00      1.02e-01    6.31e-02      7.85e-02    6.44e-02    8.3e-04
  17200      7.58e-01    5.81e-02      8.67e-02    9.39e-02      2.58e-02    4.33e-07    8.3e-04
  17300      1.90e+00    6.99e+01      5.41e-02    1.09e+00      6.59e-02    2.43e+00    8.3e-04
  17400      1.66e+00    4.42e+00      8.15e-02    9.33e-02      5.74e-02    1.53e-01    8.3e-04
  17500      1.75e+00    2.05e-01      2.10e-01    3.31e-01      4.89e-02    1.78e-07    8.3e-04
  17600      1.14e+00    1.81e+00      1.86e-02    3.31e-02      3.97e-02    6.29e-02    8.3e-04
  17700      3.54e+00    2.45e+00      1.33e-01    8.31e-03      1.22e-01    8.53e-02    8.3e-04
  17800      7.41e-01    2.58e+00      1.26e-02    5.36e-02      2.58e-02    8.94e-02    8.3e-04
  17900      4.46e+00    1.60e+00      2.31e-02    5.94e-03      1.55e-01    5.58e-02    8.3e-04
  18000      3.77e+00    4.99e-02      1.19e-01    1.14e-01      1.31e-01    6.51e-18    8.3e-04
  18100      2.11e+00    3.33e+00      4.33e-02    7.06e-02      7.32e-02    1.16e-01    8.3e-04
  18200      1.44e+00    2.61e+00      9.22e-02    1.15e-01      4.99e-02    8.98e-02    8.3e-04
  18300      2.41e+00    2.55e+01      2.21e-02    1.97e-01      8.37e-02    8.89e-01    8.3e-04
  18400      2.14e+00    1.40e+00      5.73e-04    1.90e-03      7.44e-02    4.87e-02    8.3e-04
  18500      2.03e+00    2.36e+00      6.83e-03    1.14e-02      7.06e-02    8.21e-02    8.3e-04
  18600      6.98e+00    8.69e+00      2.66e-01    1.08e-01      2.41e-01    3.02e-01    8.3e-04
  18700      5.43e+00    4.32e+00      6.43e-02    8.29e-02      1.89e-01    1.50e-01    8.3e-04
  18800      3.42e+00    2.03e+00      5.07e-03    7.40e-02      1.19e-01    6.97e-02    8.3e-04
  18900      2.24e+00    2.83e+00      9.12e-02    7.73e-02      7.75e-02    9.80e-02    8.3e-04
  19000      2.13e+00    3.24e-02      6.40e-02    7.41e-02      7.39e-02    6.82e-17    8.3e-04
  19100      7.51e-01    1.89e-01      2.21e-01    3.06e-01      2.24e-02    5.01e-07    8.3e-04
  19200      2.61e+00    6.60e-03      6.90e-02    1.51e-02      9.06e-02    3.56e-17    8.3e-04
  19300      2.18e+00    2.23e+00      1.75e-01    5.61e-02      7.33e-02    7.75e-02    8.3e-04
  19400      2.70e+00    3.38e+00      8.71e-02    1.01e-01      9.36e-02    1.16e-01    8.3e-04
  19500      2.92e+00    1.87e+00      9.25e-02    4.95e-01      1.01e-01    6.43e-02    8.3e-04
  19600      6.79e-01    4.40e-02      1.30e-01    1.01e-01      2.23e-02    1.36e-17    8.3e-04
  19700      6.82e+00    1.97e+00      7.54e-02    1.21e-01      2.37e-01    6.72e-02    8.3e-04
  19800      1.07e+00    2.74e+00      1.28e-01    6.02e-02      3.65e-02    9.53e-02    8.3e-04
  19900      1.06e+00    2.07e+00      2.50e-01    4.75e-02      3.37e-02    7.19e-02    8.3e-04
  20000      1.05e+00    2.61e+00      1.60e-02    2.16e-02      3.64e-02    9.09e-02    8.3e-04
  20100      3.05e+00    3.33e+00      2.78e-02    5.77e-02      1.10e-01    1.19e-01    7.7e-04
  20200      7.29e-01    1.96e+00      1.44e-01    1.56e-01      2.41e-02    6.74e-02    7.7e-04
  20300      8.70e-01    1.47e+00      2.56e-01    7.72e-01      2.55e-02    4.92e-02    7.7e-04
  20400      8.92e-01    3.94e+01      7.43e-02    2.50e-01      3.16e-02    1.42e+00    7.7e-04
  20500      2.20e+00    1.58e+00      2.68e-02    2.41e-02      7.89e-02    5.65e-02    7.7e-04
  20600      1.54e+00    2.25e+00      9.68e-02    1.04e-01      5.39e-02    7.96e-02    7.7e-04
  20700      1.56e+00    4.67e+00      1.11e-01    1.24e-01      5.41e-02    1.67e-01    7.7e-04
  20800      5.02e+00    1.49e+00      1.12e-01    8.87e-03      1.80e-01    5.35e-02    7.7e-04
  20900      1.64e+00    8.19e-01      1.15e-01    7.29e-02      5.69e-02    2.90e-02    7.7e-04
  21000      5.09e+00    4.42e-02      2.27e-01    8.99e-02      1.77e-01    2.97e-17    7.7e-04
  21100      2.12e+00    5.57e-01      2.15e-03    1.12e-01      7.63e-02    1.98e-02    7.7e-04
  21200      7.66e-01    2.28e+00      1.53e-01    4.04e-02      2.53e-02    8.20e-02    7.7e-04
  21300      5.86e-01    2.58e+00      5.43e-02    5.82e-02      2.07e-02    9.23e-02    7.7e-04
  21400      2.87e+00    5.27e+01      4.18e-01    2.53e-01      8.81e-02    1.89e+00    7.7e-04
  21500      4.85e+00    1.70e+00      3.77e-02    6.16e-02      1.74e-01    6.06e-02    7.7e-04
  21600      2.22e+00    1.22e-02      3.65e-02    1.76e-02      7.98e-02    8.28e-08    7.7e-04
  21700      2.21e+00    3.06e+00      9.04e-02    1.35e-01      7.85e-02    1.09e-01    7.7e-04
  21800      1.54e+00    2.13e+00      1.23e-01    1.43e-01      5.30e-02    7.42e-02    7.7e-04
  21900      2.10e+00    2.15e+00      1.20e-01    1.20e-03      7.39e-02    7.73e-02    7.7e-04
  22000      6.92e-01    1.39e+00      6.59e-02    2.24e-02      2.44e-02    4.99e-02    7.7e-04
  22100      1.56e+00    1.73e+00      6.65e-02    1.25e-01      5.45e-02    5.99e-02    7.7e-04
  22200      7.73e-01    4.46e-03      5.34e-03    9.08e-03      2.78e-02    8.32e-18    7.7e-04
  22300      2.36e+00    1.64e+00      5.89e-02    2.84e-02      8.46e-02    5.88e-02    7.7e-04
  22400      3.01e+00    1.55e+01      2.09e-01    7.50e-02      1.05e-01    5.58e-01    7.7e-04
  22500      4.01e+00    9.02e-02      2.31e-02    1.83e-01      1.44e-01    1.81e-17    7.7e-04
  22600      5.74e-01    6.14e+00      1.02e-01    1.06e-01      1.93e-02    2.20e-01    7.7e-04
  22700      3.09e+00    2.23e-01      2.43e-01    3.21e-01      1.06e-01    6.22e-06    7.7e-04
  22800      1.96e+00    3.72e+00      1.07e-01    2.20e-02      6.91e-02    1.34e-01    7.7e-04
  22900      5.32e-01    1.93e+00      9.65e-02    5.97e-02      1.79e-02    6.88e-02    7.7e-04
  23000      2.12e+00    1.34e-01      1.97e-01    2.73e-01      7.18e-02    1.17e-17    7.7e-04
  23100      2.46e+00    3.13e+00      1.87e-01    1.90e-01      8.50e-02    1.10e-01    7.7e-04
  23200      4.31e-01    1.49e+01      9.77e-02    9.05e-02      1.39e-02    5.34e-01    7.7e-04
  23300      2.02e+00    2.85e+00      4.72e-02    6.47e-02      7.24e-02    1.02e-01    7.7e-04
  23400      1.03e+00    1.93e+00      2.85e-02    3.06e-02      3.69e-02    6.93e-02    7.7e-04
  23500      2.35e+00    4.16e-02      9.97e-02    5.98e-02      8.33e-02    5.73e-07    7.7e-04
  23600      4.47e+00    3.35e+01      6.51e-02    5.28e-01      1.60e-01    1.20e+00    7.7e-04
  23700      2.25e+00    2.57e+00      1.52e-01    1.02e-01      7.83e-02    9.16e-02    7.7e-04
  23800      2.28e+00    2.61e+00      2.87e-01    2.33e-01      5.85e-02    8.89e-02    7.7e-04
  23900      7.09e-01    1.40e-02      3.48e-02    2.85e-02      2.53e-02    3.49e-16    7.7e-04
  24000      1.42e+00    1.54e+00      6.63e-02    1.02e-03      5.07e-02    5.53e-02    7.7e-04
  24100      2.41e+00    2.21e+00      1.28e-01    5.41e-02      8.52e-02    7.91e-02    7.7e-04
  24200      7.03e-01    2.10e+00      1.05e-01    2.39e-01      2.41e-02    6.86e-02    7.7e-04
  24300      2.26e+00    1.98e+02      2.13e-02    7.74e-03      8.10e-02    7.12e+00    7.7e-04
  24400      5.59e+00    2.59e+00      8.79e-02    8.33e-02      2.01e-01    9.25e-02    7.7e-04
  24500      3.26e+00    1.95e+00      1.45e-01    3.23e-02      1.16e-01    7.00e-02    7.7e-04
  24600      3.36e+00    4.71e-02      2.76e-02    9.57e-02      1.21e-01    3.87e-17    7.7e-04
  24700      2.65e+00    1.22e+00      1.79e-01    1.50e-01      9.23e-02    3.94e-02    7.7e-04
  24800      6.41e-01    1.46e+00      1.91e-02    3.08e-02      2.30e-02    5.25e-02    7.7e-04
  24900      1.78e+00    2.17e+00      2.14e-02    2.61e-02      6.41e-02    7.79e-02    7.7e-04
  25000      1.25e+00    3.02e+01      2.99e-01    3.03e-01      3.98e-02    1.08e+00    7.7e-04
  25100      2.74e+00    2.41e+00      7.80e-02    6.56e-02      1.01e-01    8.90e-02    7.3e-04
  25200      5.54e+00    2.81e+00      3.07e-01    1.30e-01      1.94e-01    1.03e-01    7.3e-04
  25300      1.62e+00    3.22e+00      2.00e-01    1.02e-01      5.27e-02    1.19e-01    7.3e-04
  25400      1.60e+00    1.61e+02      4.24e-02    1.43e-01      5.89e-02    5.99e+00    7.3e-04
  25500      1.57e+00    5.05e+00      1.00e-01    1.60e-01      5.65e-02    1.86e-01    7.3e-04
  25600      5.04e-01    6.34e-02      1.70e-01    1.18e-01      1.29e-02    5.78e-17    7.3e-04
  25700      4.04e+00    6.23e+00      1.87e-01    1.19e-01      1.47e-01    2.30e-01    7.3e-04
  25800      2.30e+00    2.29e-02      5.61e-02    3.01e-02      8.50e-02    1.16e-06    7.3e-04
